"Flight.Type","Airline","Flight.No","AverageDepartureDelay","AverageArrivalDelay","TotalFlight","ArrivalDelayedFlight","ArrivalPercDelay","DepartureDelayedFlight","DeparturePercDelay"
"Domestic","AZUL","AZU - 2639",-7.32,-7.18,724,121,0.17,83,0.11
"Domestic","AZUL","AZU - 2640",2.35,1.36,166,27,0.16,16,0.1
"Domestic","AZUL","AZU - 2641",0.98,2.38,187,33,0.18,18,0.1
"Domestic","AZUL","AZU - 2642",4.57,2.48,581,84,0.14,72,0.12
"Domestic","AZUL","AZU - 2643",-31.98,-33.33,493,35,0.07,34,0.07
"Domestic","AZUL","AZU - 2644",1.07,-3.18,415,49,0.12,43,0.1
"Domestic","AZUL","AZU - 2645",-1.94,-0.88,142,19,0.13,8,0.06
"Domestic","AZUL","AZU - 2646",3.48,6.34,114,28,0.25,10,0.09
"Domestic","AZUL","AZU - 2647",-2.97,-10,72,2,0.03,4,0.06
"Domestic","AZUL","AZU - 2648",-1.93,-1.73,109,8,0.07,8,0.07
"Domestic","AZUL","AZU - 2649",-1.26,-3.82,108,11,0.1,5,0.05
"Domestic","AZUL","AZU - 2650",4.29,-0.62,45,5,0.11,3,0.07
"Domestic","AZUL","AZU - 2651",-3.95,-5.42,307,10,0.03,9,0.03
"Domestic","AZUL","AZU - 2652",126.76,125.16,275,39,0.14,40,0.15
"Domestic","AZUL","AZU - 2653",-0.57,-6.33,87,10,0.11,7,0.08
"Domestic","AZUL","AZU - 2654",-2.69,-7.1,900,70,0.08,88,0.1
"Domestic","AZUL","AZU - 2655",-0.02,-1.63,749,83,0.11,81,0.11
"Domestic","AZUL","AZU - 2656",12.21,10.39,1071,128,0.12,123,0.11
"Domestic","AZUL","AZU - 2657",2.58,-0.88,1196,209,0.17,207,0.17
"Domestic","AZUL","AZU - 2658",1.87,-4.83,54,6,0.11,5,0.09
"Domestic","AZUL","AZU - 2659",-0.14,-2.39,36,5,0.14,5,0.14
"Domestic","AZUL","AZU - 2660",0.22,-3.72,36,3,0.08,3,0.08
"Domestic","AZUL","AZU - 2661",8.49,4.41,113,29,0.26,27,0.24
"Domestic","AZUL","AZU - 2662",-1.11,-3.81,62,11,0.18,6,0.1
"Domestic","AZUL","AZU - 2663",-1.78,-6.1,120,4,0.03,4,0.03
"Domestic","AZUL","AZU - 2664",3.07,-2.61,214,30,0.14,29,0.14
"Domestic","AZUL","AZU - 2665",6.11,4.7,84,12,0.14,12,0.14
"Domestic","AZUL","AZU - 2666",-64.65,-68.94,108,12,0.11,13,0.12
"Domestic","AZUL","AZU - 2667",-152.98,-149.73,98,12,0.12,6,0.06
"Domestic","AZUL","AZU - 2668",332.68,332.95,41,16,0.39,16,0.39
"Domestic","AZUL","AZU - 2669",-2.4,-3.58,180,22,0.12,19,0.11
"Domestic","AZUL","AZU - 2670",-4.17,-7.2,243,14,0.06,5,0.02
"Domestic","AZUL","AZU - 2671",-0.75,-2.62,129,10,0.08,7,0.05
"Domestic","AZUL","AZU - 2672",2.88,-2.23,163,25,0.15,23,0.14
"Domestic","AZUL","AZU - 2673",-0.12,-11.14,191,15,0.08,23,0.12
"Domestic","AZUL","AZU - 2674",11,2.33,196,39,0.2,44,0.22
"Domestic","AZUL","AZU - 2675",0.57,-4.44,218,31,0.14,38,0.17
"Domestic","AZUL","AZU - 2676",-15.06,-17.82,567,41,0.07,34,0.06
"Domestic","AZUL","AZU - 2677",-25.98,-29.62,540,59,0.11,56,0.1
"Domestic","AZUL","AZU - 2678",-14.22,-20.77,582,54,0.09,43,0.07
"Domestic","AZUL","AZU - 2679",-12.73,-18.98,575,78,0.14,58,0.1
"Domestic","AZUL","AZU - 2680",-3.79,-3.94,499,65,0.13,41,0.08
"Domestic","AZUL","AZU - 2681",5.12,2.31,475,115,0.24,112,0.24
"Domestic","AZUL","AZU - 2682",-1.85,-3.7,135,20,0.15,13,0.1
"Domestic","AZUL","AZU - 2683",-2.19,-6.37,57,3,0.05,2,0.04
"Domestic","AZUL","AZU - 2684",-8.89,1.64,455,108,0.24,45,0.1
"Domestic","AZUL","AZU - 2685",-620.88,-619.64,1696,84,0.05,53,0.03
"Domestic","AZUL","AZU - 2686",2.26,-6.95,42,5,0.12,4,0.1
"Domestic","AZUL","AZU - 2687",-8.71,-2.61,51,8,0.16,3,0.06
"Domestic","AZUL","AZU - 2688",2.41,0.2,54,5,0.09,6,0.11
"Domestic","AZUL","AZU - 2689",-3.71,-3.3,274,26,0.09,23,0.08
"Domestic","AZUL","AZU - 2690",5.01,0.88,136,22,0.16,23,0.17
"Domestic","AZUL","AZU - 2691",0.09,1.27,64,10,0.16,10,0.16
"Domestic","AZUL","AZU - 2692",4.21,-0.87,120,14,0.12,16,0.13
"Domestic","AZUL","AZU - 2693",-1.43,-1.32,108,16,0.15,11,0.1
"Domestic","AZUL","AZU - 2694",38.09,35.2,386,47,0.12,40,0.1
"Domestic","AZUL","AZU - 2695",1.62,-8.41,85,9,0.11,9,0.11
"Domestic","AZUL","AZU - 2696",26.58,26.07,500,63,0.13,36,0.07
"Domestic","AZUL","AZU - 2697",-3.59,-1.57,123,16,0.13,14,0.11
"Domestic","AZUL","AZU - 2698",50.53,51.06,467,118,0.25,98,0.21
"Domestic","AZUL","AZU - 2699",-3.69,1.33,621,85,0.14,71,0.11
"Domestic","AZUL","AZU - 2700",-50.94,-40.71,981,158,0.16,104,0.11
"Domestic","AZUL","AZU - 2701",-43.94,-37.6,1330,274,0.21,194,0.15
"Domestic","AZUL","AZU - 2702",1.24,-14.68,102,12,0.12,14,0.14
"Domestic","AZUL","AZU - 2703",-6.09,1.09,161,29,0.18,29,0.18
"Domestic","AZUL","AZU - 2704",-1.88,-4.42,409,27,0.07,29,0.07
"Domestic","AZUL","AZU - 2705",33.1,29.28,632,40,0.06,41,0.06
"Domestic","AZUL","AZU - 2706",-4.57,-5.72,97,5,0.05,2,0.02
"Domestic","AZUL","AZU - 2707",0.13,-0.92,406,28,0.07,27,0.07
"Domestic","AZUL","AZU - 2708",-1.77,1.71,100,16,0.16,4,0.04
"Domestic","AZUL","AZU - 2709",-0.66,-2.38,56,9,0.16,7,0.12
"Domestic","AZUL","AZU - 2710",3.14,1.15,498,91,0.18,89,0.18
