"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AVIANCA BRASIL","ONE - 6363",20
"Domestic","AVIANCA BRASIL","ONE - 6364",19
"Domestic","AVIANCA BRASIL","ONE - 6365",8
"Domestic","AVIANCA BRASIL","ONE - 6366",1
"Domestic","AVIANCA BRASIL","ONE - 6368",2
"Domestic","AVIANCA BRASIL","ONE - 6370",34
"Domestic","AVIANCA BRASIL","ONE - 6371",47
"Domestic","AVIANCA BRASIL","ONE - 6372",54
"Domestic","AVIANCA BRASIL","ONE - 6373",47
"Domestic","AVIANCA BRASIL","ONE - 6375",1
"Domestic","AVIANCA BRASIL","ONE - 6376",46
"Domestic","AVIANCA BRASIL","ONE - 6377",28
"Domestic","AVIANCA BRASIL","ONE - 6378",20
"Domestic","AVIANCA BRASIL","ONE - 6379",51
"Domestic","AVIANCA BRASIL","ONE - 6380",67
"Domestic","AVIANCA BRASIL","ONE - 6381",34
"Domestic","AVIANCA BRASIL","ONE - 6382",37
"Domestic","AVIANCA BRASIL","ONE - 6383",29
"Domestic","AVIANCA BRASIL","ONE - 6384",32
"Domestic","AVIANCA BRASIL","ONE - 6385",26
"Domestic","AVIANCA BRASIL","ONE - 6386",31
"Domestic","AVIANCA BRASIL","ONE - 6387",59
"Domestic","AVIANCA BRASIL","ONE - 6388",20
"Domestic","AVIANCA BRASIL","ONE - 6389",25
"Domestic","AVIANCA BRASIL","ONE - 6390",66
"Domestic","AVIANCA BRASIL","ONE - 6391",81
"Domestic","AVIANCA BRASIL","ONE - 6392",5
"Domestic","AVIANCA BRASIL","ONE - 6393",6
"Domestic","AVIANCA BRASIL","ONE - 6394",1
"Domestic","AVIANCA BRASIL","ONE - 6395",2
"Domestic","AVIANCA BRASIL","ONE - 6396",17
"Domestic","AVIANCA BRASIL","ONE - 6397",19
"Domestic","AVIANCA BRASIL","ONE - 6398",15
"Domestic","AVIANCA BRASIL","ONE - 6399",15
"Domestic","AZUL","AZU - 2407",8
"Domestic","AZUL","AZU - 2417",3
"Domestic","AZUL","AZU - 2422",231
"Domestic","AZUL","AZU - 2423",248
