"Flight.Type","Airline","Flight.No","TotalFlight"
"International","AMERICAN AIRLINES INC","AAL - 203",54
"International","AMERICAN AIRLINES INC","AAL - 213",13
"International","AMERICAN AIRLINES INC","AAL - 214",21
"International","AMERICAN AIRLINES INC","AAL - 215",3
"International","AMERICAN AIRLINES INC","AAL - 216",8
"International","AMERICAN AIRLINES INC","AAL - 229",13
"International","AMERICAN AIRLINES INC","AAL - 230",5
"International","AMERICAN AIRLINES INC","AAL - 233",15
"International","AMERICAN AIRLINES INC","AAL - 234",11
"International","AMERICAN AIRLINES INC","AAL - 250",7
"International","AMERICAN AIRLINES INC","AAL - 251",7
"International","AMERICAN AIRLINES INC","AAL - 273",5
"International","AMERICAN AIRLINES INC","AAL - 274",5
"International","AMERICAN AIRLINES INC","AAL - 901",26
"International","AMERICAN AIRLINES INC","AAL - 904",8
"International","AMERICAN AIRLINES INC","AAL - 905",4
"International","AMERICAN AIRLINES INC","AAL - 906",9
"International","AMERICAN AIRLINES INC","AAL - 907",14
"International","AMERICAN AIRLINES INC","AAL - 919",16
"International","AMERICAN AIRLINES INC","AAL - 929",7
"International","AMERICAN AIRLINES INC","AAL - 930",15
"International","AMERICAN AIRLINES INC","AAL - 950",13
"International","AMERICAN AIRLINES INC","AAL - 951",11
"International","AMERICAN AIRLINES INC","AAL - 958",14
"International","AMERICAN AIRLINES INC","AAL - 961",5
"International","AMERICAN AIRLINES INC","AAL - 962",8
"International","AMERICAN AIRLINES INC","AAL - 963",3
"International","AMERICAN AIRLINES INC","AAL - 964",14
"International","AMERICAN AIRLINES INC","AAL - 973",20
"International","AMERICAN AIRLINES INC","AAL - 974",22
"International","AMERICAN AIRLINES INC","AAL - 990",16
"International","AMERICAN AIRLINES INC","AAL - 991",17
"International","AMERICAN AIRLINES INC","AAL - 992",24
"International","AMERICAN AIRLINES INC","AAL - 995",7
"International","AMERICAN AIRLINES INC","AAL - 998",17
"International","AMERICAN AIRLINES INC","AAL - 9980",1
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2220",4
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2221",4
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2222",6
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2223",6
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2224",4
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2225",4
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2226",26
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2227",26
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2230",22
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2231",22
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2240",31
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2241",31
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2242",14
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2243",14
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2244",29
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2245",29
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2250",37
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2251",36
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2256",3
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2257",2
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2264",42
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2265",41
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2266",10
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2267",10
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2268",3
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2269",7
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2274",7
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2275",7
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2276",15
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2277",10
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2292",3
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2293",3
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2294",30
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A","AUT - 2295",30
"International","AVIANCA","AVA - 248",1
"International","AVIANCA","AVA - 86",1
"International","AVIANCA BRASIL","ONE - 8500",2
"International","AVIANCA BRASIL","ONE - 8501",2
"International","AVIANCA BRASIL","ONE - 8510",7
"International","AVIANCA BRASIL","ONE - 8511",8
"International","AZUL","AZU - 8702",71
"International","AZUL","AZU - 8703",71
"International","AZUL","AZU - 8704",8
"International","AZUL","AZU - 8705",81
"International","AZUL","AZU - 8706",49
"International","AZUL","AZU - 8707",55
"International","AZUL","AZU - 8708",3
"International","AZUL","AZU - 8709",4
"International","AZUL","AZU - 8710",49
"International","AZUL","AZU - 8711",49
"International","AZUL","AZU - 8720",18
"International","AZUL","AZU - 8721",20
"International","AZUL","AZU - 8722",18
"International","AZUL","AZU - 8723",18
"International","AZUL","AZU - 8724",7
"International","AZUL","AZU - 8725",7
"International","AZUL","AZU - 8730",18
"International","AZUL","AZU - 8731",19
"International","AZUL","AZU - 8740",21
"International","AZUL","AZU - 8741",21
"International","AZUL","AZU - 8750",1
"International","AZUL","AZU - 8752",2
"International","AZUL","AZU - 8753",1
"International","AZUL","AZU - 8760",36
"International","AZUL","AZU - 8761",34
"International","BRITISH AIRWAYS PLC","BAW - 240",1
"International","BRITISH AIRWAYS PLC","BAW - 241",1
"International","BRITISH AIRWAYS PLC","BAW - 246",6
"International","BRITISH AIRWAYS PLC","BAW - 247",7
"International","BRITISH AIRWAYS PLC","BAW - 248",14
"International","BRITISH AIRWAYS PLC","BAW - 249",12
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 140",4
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 141",3
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 167",1
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 204",1
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 215",6
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 216",3
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 297",69
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 298",70
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 313",1
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 318",1
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 408",20
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 409",25
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 442",29
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 443",21
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 700",5
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 701",31
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 702",72
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 703",58
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 724",2
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 725",5
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 729",24
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 730",21
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 758",2
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 759",2
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 764",9
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 765",8
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 767",103
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 768",99
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 800",2
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 820",3
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 821",2
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 872",1
"International","COPA -COMPANIA PANAMENA DE AVIACION","CMP - 873",8
"International","DELTA AIRLINES","DAL - 104",26
"International","DELTA AIRLINES","DAL - 105",19
"International","DELTA AIRLINES","DAL - 221",3
"International","DELTA AIRLINES","DAL - 222",4
"International","DELTA AIRLINES","DAL - 471",17
"International","DELTA AIRLINES","DAL - 472",16
"International","DELTA AIRLINES","DAL - 52",45
"International","DELTA AIRLINES","DAL - 53",44
"International","DELTA AIRLINES","DAL - 58",40
"International","DELTA AIRLINES","DAL - 586",1
"International","DELTA AIRLINES","DAL - 587",2
"International","DELTA AIRLINES","DAL - 59",48
"International","DELTA AIRLINES","DAL - 60",41
"International","DELTA AIRLINES","DAL - 61",34
"International","EMIRATES","UAE - 247",4
"International","EMIRATES","UAE - 248",8
"International","EMIRATES","UAE - 261",6
"International","EMIRATES","UAE - 262",6
"International","EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE S.A.","TCV - 665",1
"International","EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE S.A.","TCV - 855",6
"International","EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE S.A.","TCV - 877",4
"International","ETIHAD","ETD - 191",2
"International","GOL","GLO - 7450",1
"International","GOL","GLO - 7451",11
"International","GOL","GLO - 7452",10
"International","GOL","GLO - 7453",6
"International","GOL","GLO - 7454",9
"International","GOL","GLO - 7455",2
"International","GOL","GLO - 7456",4
"International","GOL","GLO - 7460",10
"International","GOL","GLO - 7461",11
"International","GOL","GLO - 7462",9
"International","GOL","GLO - 7463",10
"International","GOL","GLO - 7465",2
"International","GOL","GLO - 7466",4
"International","GOL","GLO - 7467",4
"International","GOL","GLO - 7468",34
"International","GOL","GLO - 7469",32
"International","GOL","GLO - 7470",66
"International","GOL","GLO - 7471",66
"International","GOL","GLO - 7472",57
"International","GOL","GLO - 7473",61
"International","GOL","GLO - 7480",2
"International","GOL","GLO - 7481",5
"International","GOL","GLO - 7483",1
"International","GOL","GLO - 7486",105
"International","GOL","GLO - 7487",106
"International","GOL","GLO - 7488",65
"International","GOL","GLO - 7489",66
"International","GOL","GLO - 7490",71
"International","GOL","GLO - 7491",70
"International","GOL","GLO - 7492",11
"International","GOL","GLO - 7493",11
"International","GOL","GLO - 7496",9
"International","GOL","GLO - 7497",12
"International","GOL","GLO - 7600",5
"International","GOL","GLO - 7601",11
"International","GOL","GLO - 7602",1
"International","GOL","GLO - 7610",18
"International","GOL","GLO - 7611",18
"International","GOL","GLO - 7612",22
"International","GOL","GLO - 7613",22
"International","GOL","GLO - 7614",6
"International","GOL","GLO - 7615",6
"International","GOL","GLO - 7616",64
"International","GOL","GLO - 7617",24
"International","GOL","GLO - 7622",25
"International","GOL","GLO - 7623",77
"International","GOL","GLO - 7624",139
"International","GOL","GLO - 7625",139
"International","GOL","GLO - 7630",4
"International","GOL","GLO - 7631",4
"International","GOL","GLO - 7632",59
"International","GOL","GLO - 7636",54
"International","GOL","GLO - 7637",79
"International","GOL","GLO - 7638",9
"International","GOL","GLO - 7639",10
"International","GOL","GLO - 7641",3
"International","GOL","GLO - 7642",23
"International","GOL","GLO - 7643",25
"International","GOL","GLO - 7644",2
"International","GOL","GLO - 7645",1
"International","GOL","GLO - 7646",47
"International","GOL","GLO - 7647",48
"International","GOL","GLO - 7648",95
"International","GOL","GLO - 7649",37
"International","GOL","GLO - 7650",20
"International","GOL","GLO - 7651",21
"International","GOL","GLO - 7652",57
"International","GOL","GLO - 7653",61
"International","GOL","GLO - 7656",8
"International","GOL","GLO - 7657",7
"International","GOL","GLO - 7658",15
"International","GOL","GLO - 7661",71
"International","GOL","GLO - 7662",70
"International","GOL","GLO - 7666",2
"International","GOL","GLO - 7667",6
"International","GOL","GLO - 7668",15
"International","GOL","GLO - 7669",10
"International","GOL","GLO - 7670",9
"International","GOL","GLO - 7671",5
"International","GOL","GLO - 7672",36
"International","GOL","GLO - 7673",33
"International","GOL","GLO - 7680",8
"International","GOL","GLO - 7681",6
"International","GOL","GLO - 7682",5
"International","GOL","GLO - 7683",3
"International","GOL","GLO - 7684",8
"International","GOL","GLO - 7685",11
"International","GOL","GLO - 7690",13
"International","GOL","GLO - 7691",12
"International","GOL","GLO - 7692",3
"International","GOL","GLO - 7693",3
"International","GOL","GLO - 7694",1
"International","GOL","GLO - 7699",1
"International","GOL","GLO - 7701",26
"International","GOL","GLO - 7702",23
"International","GOL","GLO - 7710",33
"International","GOL","GLO - 7711",32
"International","GOL","GLO - 7712",9
"International","GOL","GLO - 7713",11
"International","GOL","GLO - 7720",20
"International","GOL","GLO - 7721",32
"International","GOL","GLO - 7722",6
"International","GOL","GLO - 7723",11
"International","GOL","GLO - 7725",9
"International","GOL","GLO - 7726",3
"International","GOL","GLO - 7727",54
"International","GOL","GLO - 7730",249
"International","GOL","GLO - 7731",256
"International","GOL","GLO - 7732",34
"International","GOL","GLO - 7733",34
"International","GOL","GLO - 7734",61
"International","GOL","GLO - 7735",61
"International","GOL","GLO - 7737",29
"International","GOL","GLO - 7738",29
"International","GOL","GLO - 7741",2
"International","GOL","GLO - 7742",25
"International","GOL","GLO - 7743",25
"International","IBERIA","IBE - 6024",48
"International","IBERIA","IBE - 6025",46
"International","IBERIA","IBE - 6820",26
"International","IBERIA","IBE - 6821",13
"International","IBERIA","IBE - 6823",1
"International","IBERIA","IBE - 6824",8
"International","IBERIA","IBE - 6827",27
"International","INSELAIR","INC - 711",30
"International","INSELAIR","INC - 712",29
"International","INSELAIR","INC - 713",2
"International","INSELAIR","INC - 714",2
"International","INSELAIR","INC - 715",2
"International","INSELAIR","INC - 716",1
"International","INSELAIR","INC - 773",46
"International","INSELAIR","INC - 774",47
"International","INSELAIR","NLU - 690",1
"International","INSELAIR","NLU - 691",3
"International","KLM ROYAL DUTCH AIRLINES","KLM - 705",30
"International","KLM ROYAL DUTCH AIRLINES","KLM - 706",29
"International","KLM ROYAL DUTCH AIRLINES","KLM - 791",5
"International","KLM ROYAL DUTCH AIRLINES","KLM - 792",4
"International","KOREAN AIRLINES","KAL - 273",3
"International","KOREAN AIRLINES","KAL - 274",3
"International","KOREAN AIRLINES","KAL - 275",2
"International","KOREAN AIRLINES","KAL - 276",2
"International","KOREAN AIRLINES","KAL - 61",2
"International","KOREAN AIRLINES","KAL - 62",2
"International","LAN ARGENTINA S/A","DSM - 4540",5
"International","LAN ARGENTINA S/A","DSM - 4541",11
"International","LAN ARGENTINA S/A","DSM - 4542",3
"International","LAN ARGENTINA S/A","DSM - 4546",1
"International","LAN ARGENTINA S/A","DSM - 4547",1
"International","LAN ARGENTINA S/A","DSM - 7868",3
"International","LAN ARGENTINA S/A","DSM - 7869",3
"International","LAN CHILE","LAN - 701",4
"International","LAN CHILE","LAN - 751",1
"International","LAN CHILE","LAN - 752",2
"International","LAN CHILE","LAN - 753",1
"International","LAN CHILE","LAN - 757",1
"International","LAN CHILE","LAN - 758",1
"International","LAN CHILE","LAN - 759",2
"International","LAN PERU S/A","LPE - 2766",1
"International","LAN PERU S/A","LPE - 2767",1
"International","LUFTHANSA","DLH - 500",55
"International","LUFTHANSA","DLH - 501",59
"International","LUFTHANSA","DLH - 504",48
"International","LUFTHANSA","DLH - 505",48
"International","LUFTHANSA","DLH - 506",20
"International","LUFTHANSA","DLH - 507",22
"International","MERIDIANA","ISS - 3740",18
"International","NAO INFORMADO","TAE - 517",1
"International","NAO INFORMADO","TAE - 518",3
"International","NAO INFORMADO","TAE - 532",1
"International","QATAR AIRWAYS","QTR - 771",3
"International","QATAR AIRWAYS","QTR - 772",3
"International","QATAR AIRWAYS","QTR - 773",2
"International","ROYAL AIR MAROC","RAM - 212",1
"International","ROYAL AIR MAROC","RAM - 213",2
"International","ROYAL AIR MAROC","RAM - 214",2
"International","ROYAL AIR MAROC","RAM - 215",8
"International","SINGAPORE AIRLINES","SIA - 67",1
"International","SINGAPORE AIRLINES","SIA - 68",1
"International","SOUTH µFRICAN AIRWAYS","SAA - 222",4
"International","SOUTH µFRICAN AIRWAYS","SAA - 223",5
"International","SOUTH µFRICAN AIRWAYS","SAA - 224",68
"International","SOUTH µFRICAN AIRWAYS","SAA - 225",59
"International","SURINAM AIRWAYS","SLM - 9913",5
"International","SURINAM AIRWAYS","SLM - 9914",5
"International","SURINAM AIRWAYS","SLM - 9919",12
"International","SURINAM AIRWAYS","SLM - 9920",12
"International","SWISSAIR","SWR - 2694",2
"International","SWISSAIR","SWR - 2695",2
"International","SWISSAIR","SWR - 92",11
"International","SWISSAIR","SWR - 93",4
"International","SWISSAIR","SWR - 94",5
"International","SWISSAIR","SWR - 95",4
"International","TAAG LINHAS AEREAS DE ANGOLA","DTA - 741",51
"International","TAAG LINHAS AEREAS DE ANGOLA","DTA - 742",52
"International","TAAG LINHAS AEREAS DE ANGOLA","DTA - 745",47
"International","TAAG LINHAS AEREAS DE ANGOLA","DTA - 746",49
"International","TAM","TAM - 8000",12
"International","TAM","TAM - 8001",12
"International","TAM","TAM - 8002",59
"International","TAM","TAM - 8003",4
"International","TAM","TAM - 8004",12
"International","TAM","TAM - 8005",10
"International","TAM","TAM - 8008",9
"International","TAM","TAM - 8009",12
"International","TAM","TAM - 8010",6
"International","TAM","TAM - 8011",1
"International","TAM","TAM - 8012",50
"International","TAM","TAM - 8013",41
"International","TAM","TAM - 8014",10
"International","TAM","TAM - 8015",22
"International","TAM","TAM - 8016",7
"International","TAM","TAM - 8017",4
"International","TAM","TAM - 8018",1
"International","TAM","TAM - 8019",10
"International","TAM","TAM - 8020",41
"International","TAM","TAM - 8021",42
"International","TAM","TAM - 8022",47
"International","TAM","TAM - 8023",48
"International","TAM","TAM - 8024",1
"International","TAM","TAM - 8025",53
"International","TAM","TAM - 8026",30
"International","TAM","TAM - 8027",35
"International","TAM","TAM - 8028",9
"International","TAM","TAM - 8029",11
"International","TAM","TAM - 8030",34
"International","TAM","TAM - 8031",37
"International","TAM","TAM - 8032",18
"International","TAM","TAM - 8033",22
"International","TAM","TAM - 8034",10
"International","TAM","TAM - 8035",23
"International","TAM","TAM - 8036",9
"International","TAM","TAM - 8037",13
"International","TAM","TAM - 8038",10
"International","TAM","TAM - 8039",7
"International","TAM","TAM - 8040",16
"International","TAM","TAM - 8041",34
"International","TAM","TAM - 8042",20
"International","TAM","TAM - 8043",20
"International","TAM","TAM - 8044",23
"International","TAM","TAM - 8045",11
"International","TAM","TAM - 8046",13
"International","TAM","TAM - 8047",11
"International","TAM","TAM - 8048",6
"International","TAM","TAM - 8049",5
"International","TAM","TAM - 8050",16
"International","TAM","TAM - 8051",19
"International","TAM","TAM - 8052",19
"International","TAM","TAM - 8053",22
"International","TAM","TAM - 8054",13
"International","TAM","TAM - 8055",9
"International","TAM","TAM - 8056",22
"International","TAM","TAM - 8057",32
"International","TAM","TAM - 8058",3
"International","TAM","TAM - 8059",2
"International","TAM","TAM - 8060",3
"International","TAM","TAM - 8061",1
"International","TAM","TAM - 8062",39
"International","TAM","TAM - 8063",51
"International","TAM","TAM - 8064",30
"International","TAM","TAM - 8065",50
"International","TAM","TAM - 8066",2
"International","TAM","TAM - 8067",8
"International","TAM","TAM - 8068",5
"International","TAM","TAM - 8069",10
"International","TAM","TAM - 8070",12
"International","TAM","TAM - 8071",17
"International","TAM","TAM - 8072",28
"International","TAM","TAM - 8073",34
"International","TAM","TAM - 8074",34
"International","TAM","TAM - 8075",33
"International","TAM","TAM - 8076",29
"International","TAM","TAM - 8077",26
"International","TAM","TAM - 8078",49
"International","TAM","TAM - 8079",42
"International","TAM","TAM - 8080",45
"International","TAM","TAM - 8081",32
"International","TAM","TAM - 8084",11
"International","TAM","TAM - 8085",11
"International","TAM","TAM - 8086",31
"International","TAM","TAM - 8087",13
"International","TAM","TAM - 8090",21
"International","TAM","TAM - 8091",28
"International","TAM","TAM - 8092",6
"International","TAM","TAM - 8093",6
"International","TAM","TAM - 8094",15
"International","TAM","TAM - 8095",24
"International","TAM","TAM - 8096",3
"International","TAM","TAM - 8097",1
"International","TAM","TAM - 8099",26
"International","TAM","TAM - 8100",23
"International","TAM","TAM - 8101",13
"International","TAM","TAM - 8102",32
"International","TAM","TAM - 8103",21
"International","TAM","TAM - 8104",53
"International","TAM","TAM - 8105",54
"International","TAM","TAM - 8106",19
"International","TAM","TAM - 8107",21
"International","TAM","TAM - 8108",27
"International","TAM","TAM - 8110",9
"International","TAM","TAM - 8111",35
"International","TAM","TAM - 8112",20
"International","TAM","TAM - 8113",21
"International","TAM","TAM - 8114",9
"International","TAM","TAM - 8115",12
"International","TAM","TAM - 8116",3
"International","TAM","TAM - 8117",4
"International","TAM","TAM - 8118",40
"International","TAM","TAM - 8119",33
"International","TAM","TAM - 8120",3
"International","TAM","TAM - 8121",1
"International","TAM","TAM - 8122",20
"International","TAM","TAM - 8123",20
"International","TAM","TAM - 8124",13
"International","TAM","TAM - 8125",19
"International","TAM","TAM - 8126",39
"International","TAM","TAM - 8127",37
"International","TAM","TAM - 8128",8
"International","TAM","TAM - 8129",12
"International","TAM","TAM - 8130",7
"International","TAM","TAM - 8131",10
"International","TAM","TAM - 8132",6
"International","TAM","TAM - 8133",6
"International","TAM","TAM - 8134",7
"International","TAM","TAM - 8135",44
"International","TAM","TAM - 8136",29
"International","TAM","TAM - 8137",13
"International","TAM","TAM - 8138",21
"International","TAM","TAM - 8140",20
"International","TAM","TAM - 8141",18
"International","TAM","TAM - 8142",31
"International","TAM","TAM - 8143",35
"International","TAM","TAM - 8144",23
"International","TAM","TAM - 8145",25
"International","TAM","TAM - 8146",2
"International","TAM","TAM - 8148",3
"International","TAM","TAM - 8149",1
"International","TAM","TAM - 8150",1
"International","TAM","TAM - 8151",1
"International","TAM","TAM - 8152",3
"International","TAM","TAM - 8153",3
"International","TAM","TAM - 8158",1
"International","TAM","TAM - 8159",1
"International","TAM","TAM - 8160",31
"International","TAM","TAM - 8161",33
"International","TAM","TAM - 8163",4
"International","TAM","TAM - 8165",1
"International","TAM","TAM - 8172",2
"International","TAM","TAM - 8173",2
"International","TAM","TAM - 8182",2
"International","TAM","TAM - 8183",1
"International","TAM","TAM - 8199",1
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 706",52
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 707",18
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 712",8
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 713",11
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 716",1
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 717",3
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 720",1
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 722",12
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 723",7
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 724",15
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 725",16
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 726",5
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 727",4
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 734",28
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 735",31
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 736",3
"International","TAM TRANSP. AR. DEL. MERCOS","LAP - 737",2
"International","TAP AIR PORTUGAL","TAP - 10",13
"International","TAP AIR PORTUGAL","TAP - 101",27
"International","TAP AIR PORTUGAL","TAP - 102",45
"International","TAP AIR PORTUGAL","TAP - 103",53
"International","TAP AIR PORTUGAL","TAP - 104",53
"International","TAP AIR PORTUGAL","TAP - 11",48
"International","TAP AIR PORTUGAL","TAP - 117",20
"International","TAP AIR PORTUGAL","TAP - 118",24
"International","TAP AIR PORTUGAL","TAP - 12",12
"International","TAP AIR PORTUGAL","TAP - 15",16
"International","TAP AIR PORTUGAL","TAP - 16",28
"International","TAP AIR PORTUGAL","TAP - 18",38
"International","TAP AIR PORTUGAL","TAP - 21",11
"International","TAP AIR PORTUGAL","TAP - 22",70
"International","TAP AIR PORTUGAL","TAP - 23",118
"International","TAP AIR PORTUGAL","TAP - 24",115
"International","TAP AIR PORTUGAL","TAP - 2506",5
"International","TAP AIR PORTUGAL","TAP - 2525",1
"International","TAP AIR PORTUGAL","TAP - 2558",5
"International","TAP AIR PORTUGAL","TAP - 26",14
"International","TAP AIR PORTUGAL","TAP - 3",1
"International","TAP AIR PORTUGAL","TAP - 30",21
"International","TAP AIR PORTUGAL","TAP - 31",24
"International","TAP AIR PORTUGAL","TAP - 32",24
"International","TAP AIR PORTUGAL","TAP - 34",1
"International","TAP AIR PORTUGAL","TAP - 35",38
"International","TAP AIR PORTUGAL","TAP - 36",45
"International","TAP AIR PORTUGAL","TAP - 37",21
"International","TAP AIR PORTUGAL","TAP - 4",12
"International","TAP AIR PORTUGAL","TAP - 41",30
"International","TAP AIR PORTUGAL","TAP - 45",18
"International","TAP AIR PORTUGAL","TAP - 46",10
"International","TAP AIR PORTUGAL","TAP - 47",9
"International","TAP AIR PORTUGAL","TAP - 5",16
"International","TAP AIR PORTUGAL","TAP - 55",10
"International","TAP AIR PORTUGAL","TAP - 57",4
"International","TAP AIR PORTUGAL","TAP - 58",95
"International","TAP AIR PORTUGAL","TAP - 59",90
"International","TAP AIR PORTUGAL","TAP - 61",8
"International","TAP AIR PORTUGAL","TAP - 62",8
"International","TAP AIR PORTUGAL","TAP - 63",2
"International","TAP AIR PORTUGAL","TAP - 64",3
"International","TAP AIR PORTUGAL","TAP - 69",1
"International","TAP AIR PORTUGAL","TAP - 7",8
"International","TAP AIR PORTUGAL","TAP - 70",30
"International","TAP AIR PORTUGAL","TAP - 71",35
"International","TAP AIR PORTUGAL","TAP - 72",35
"International","TAP AIR PORTUGAL","TAP - 73",25
"International","TAP AIR PORTUGAL","TAP - 74",1
"International","TAP AIR PORTUGAL","TAP - 75",34
"International","TAP AIR PORTUGAL","TAP - 8",14
"International","TAP AIR PORTUGAL","TAP - 80",17
"International","TAP AIR PORTUGAL","TAP - 81",12
"International","TAP AIR PORTUGAL","TAP - 82",8
"International","TAP AIR PORTUGAL","TAP - 83",10
"International","TAP AIR PORTUGAL","TAP - 84",29
"International","TAP AIR PORTUGAL","TAP - 85",21
"International","TAP AIR PORTUGAL","TAP - 87",23
"International","TAP AIR PORTUGAL","TAP - 88",1
"International","TAP AIR PORTUGAL","TAP - 89",1
"International","TAP AIR PORTUGAL","TAP - 92",2
"International","TAP AIR PORTUGAL","TAP - 96",17
"International","TAP AIR PORTUGAL","TAP - 97",18
"International","TRASAMERICA  AIRLINES-TACAPERU","TPU - 916",4
"International","TRASAMERICA  AIRLINES-TACAPERU","TPU - 917",3
"International","TRASAMERICA  AIRLINES-TACAPERU","TPU - 918",3
"International","TRASAMERICA  AIRLINES-TACAPERU","TPU - 919",1
"International","TRASAMERICA  AIRLINES-TACAPERU","TPU - 920",2
"International","TURKISH AIRLINES INC.","THY - 15",12
"International","TURKISH AIRLINES INC.","THY - 16",7
